rf.img_name,truth,rf,svm,xgb,random,majority
208078_h_flip_rot_90.jpg,0.669967,0.669967,0.669967,0.669967,0.57908,0.477505
208078_h_flip.jpg,0.662732,0.662732,0.600365,0.662732,0.475911,0.475911
208078_original.jpg,0.678976,0.678976,0.59238,0.678976,0.575873,0.480796
208078_rot_270.jpg,0.677917,0.677917,0.677917,0.677917,0.575941,0.479443
208078_rot_90.jpg,0.677182,0.677182,0.677182,0.677182,0.482255,0.482255
210088_h_flip_rot_180.jpg,0.539097,0.538847,0.538847,0.538847,0.536902,0.538847
210088_h_flip_rot_270.jpg,0.541121,0.541121,0.541121,0.541121,0.53854,0.541121
210088_h_flip_rot_90.jpg,0.541727,0.541727,0.541727,0.541727,0.451063,0.541727
210088_h_flip.jpg,0.539754,0.538052,0.538052,0.539754,0.539754,0.539754
21077_h_flip_rot_90.jpg,0.739533,0.739533,0.739533,0.739533,0.739441,0.714061
21077_h_flip.jpg,0.7398,0.7398,0.7398,0.7398,0.663443,0.720823
21077_rot_180.jpg,0.739576,0.739576,0.739576,0.739576,0.723358,0.723358
21077_rot_90.jpg,0.74278,0.74278,0.74278,0.74278,0.728455,0.728455
216081_h_flip_rot_270.jpg,0.816126,0.815662,0.815662,0.816126,0.736216,0.815662
216081_h_flip_rot_90.jpg,0.815422,0.815422,0.8135,0.8135,0.807482,0.815422
216081_original.jpg,0.81455,0.81455,0.813999,0.813999,0.813999,0.81455
216081_rot_180.jpg,0.81691,0.816459,0.816459,0.816459,0.808864,0.81691
216081_rot_90.jpg,0.818661,0.818661,0.815329,0.815329,0.740518,0.818661
217013_h_flip_rot_180.jpg,0.717525,0.717525,0.717525,0.717525,0.684577,0.650318
217013_h_flip.jpg,0.717125,0.717125,0.717125,0.717125,0.628984,0.652409
219090_h_flip_rot_270.jpg,0.690113,0.690113,0.690113,0.690113,0.632097,0.632097
219090_h_flip_rot_90.jpg,0.690281,0.690281,0.690281,0.690281,0.660468,0.628902
219090_h_flip.jpg,0.688793,0.688793,0.688793,0.688793,0.657301,0.628411
219090_original.jpg,0.671197,0.671197,0.671197,0.671197,0.642372,0.630433
219090_rot_180.jpg,0.672538,0.672538,0.672538,0.663429,0.633613,0.633613
219090_rot_270.jpg,0.667124,0.667124,0.667124,0.667124,0.632144,0.632144
219090_rot_90.jpg,0.676801,0.676801,0.676801,0.676801,0.63247,0.63247
220003_h_flip_rot_90.jpg,0.7574,0.7574,0.7574,0.6631,0.673514,0.719594
220003_rot_270.jpg,0.755325,0.755325,0.755325,0.663766,0.755325,0.717309
223004_h_flip_rot_180.jpg,0.845193,0.845193,0.845193,0.845193,0.831605,0.831605
223004_h_flip_rot_270.jpg,0.843253,0.843253,0.842934,0.843253,0.579333,0.829421
223004_original.jpg,0.844199,0.844199,0.841846,0.844199,0.828039,0.828039
223004_rot_180.jpg,0.841105,0.841105,0.841105,0.841105,0.841105,0.832129
